,RF_Global,RF_Faixa1,RF_Faixa2,RF_Faixa3
2019-05-30 13:00:00,0.612342331729552,0.6293484613114081,,
2019-05-30 14:00:00,0.5117881388337056,0.5083984196884191,,
2019-05-30 15:00:00,0.32413980022753075,0.32736132827267816,,
2019-05-31 04:00:00,0.38459121843434346,0.3853996276515152,,
2019-05-31 06:00:00,0.4751382536868689,0.4736250968338146,,
2019-05-31 07:00:00,0.6736320416068595,0.6834445549704595,,
2019-05-31 08:00:00,1.5360803913917898,1.5583498279749992,,
2019-05-31 09:00:00,3.2642709172338957,,3.2724081239033493,
2019-05-31 10:00:00,5.151309007799096,,,5.161206996469591
2019-05-31 11:00:00,5.271146071097356,,,5.293725845068547
2019-05-31 12:00:00,5.347938461247264,,,5.359346726400601
2019-05-31 13:00:00,5.327515233274779,,,5.33811945276944
2019-05-31 14:00:00,4.337079162037494,,,4.389033955319165
2019-05-31 15:00:00,2.4009781293104364,,2.3922483083333312,
2019-05-31 16:00:00,1.6146410739899,1.5982990227111873,,
2019-05-31 17:00:00,0.49523792064186145,0.49224885391118833,,
2019-06-01 04:00:00,0.38972974827397633,0.39087727243779974,,
2019-06-01 05:00:00,0.4295872270553683,0.4314768768403486,,
2019-06-01 06:00:00,0.5137151286081706,0.5084064635906684,,
2019-06-01 07:00:00,0.9624542456561107,0.9609519488562818,,
2019-06-01 08:00:00,1.6099743376262643,1.62992797043846,,
2019-06-01 09:00:00,2.991694492648013,,2.9828107029440423,
2019-06-01 10:00:00,2.88706734337062,,2.8848308822075692,
2019-06-01 11:00:00,1.2493711381481487,1.248083957592593,,
2019-06-01 12:00:00,1.6162373923920714,1.6319411953741159,,
2019-06-01 13:00:00,2.2423285028352615,,2.2381445234584323,
2019-06-01 14:00:00,2.8340829399784284,,2.815411348784487,
2019-06-01 15:00:00,1.9394103758412902,,1.9723494428116117,
2019-06-01 16:00:00,1.1124931685719703,1.1112033745982044,,
2019-06-01 17:00:00,0.5506071937551286,0.5483207138499624,,
2019-06-02 03:00:00,0.31991558416947363,0.31186338097210947,,
2019-06-02 04:00:00,0.4268370564294121,0.4285125519547168,,
2019-06-02 05:00:00,0.7470770467633391,0.7481267336845525,,
2019-06-02 06:00:00,1.2748452146464644,1.283871741161616,,
2019-06-02 07:00:00,2.2952143200636037,,2.2542827837461066,
2019-06-02 08:00:00,2.783997998253581,,2.726732549842305,
2019-06-02 09:00:00,4.111593084546603,,,4.137309821879677
2019-06-02 10:00:00,4.164024582405794,,,4.158661638821565
2019-06-02 11:00:00,4.677469441666671,,,4.77799841871743
2019-06-02 12:00:00,5.494541919337474,,,5.561333407984412
2019-06-02 13:00:00,4.2467085030611536,,,4.2752663537206415
2019-06-02 14:00:00,3.647605451758894,,,3.620351759882546
2019-06-02 15:00:00,3.0191782968311442,,3.010750132864979,
2019-06-02 16:00:00,1.590662131965614,1.5906200569036373,,
2019-06-02 17:00:00,0.5164802706270091,0.5154511739321826,,
2019-06-02 18:00:00,0.4584375090743185,0.4674589375765634,,
2019-06-03 04:00:00,0.40805174545876427,0.4087231920040939,,
2019-06-03 05:00:00,0.6826318777777775,0.6794104205054095,,
2019-06-03 06:00:00,1.0710680135435213,1.0743013564616952,,
2019-06-03 07:00:00,2.449463581449015,,2.440295178265313,
2019-06-03 08:00:00,3.213391018203348,,3.194337208197302,
2019-06-03 09:00:00,1.930415283785174,,1.93226568901848,
2019-06-03 10:00:00,1.3278169185531126,1.3207240818702581,,
2019-06-03 11:00:00,3.1439637266854676,,3.1342946322228555,
2019-06-03 12:00:00,1.9732513615941587,,1.9842752472247052,
2019-06-03 13:00:00,1.4766849545826881,1.4856958665176765,,
2019-06-03 14:00:00,2.1404692355454897,,2.1315699808470896,
2019-06-03 15:00:00,1.7696498052509082,1.7628282168180076,,
2019-06-03 16:00:00,0.8124469490007641,0.8153803954073543,,
2019-06-03 17:00:00,0.35357512841448524,0.35093811266673713,,
2019-06-04 04:00:00,0.31801513933767417,0.31264831973003493,,
2019-06-04 05:00:00,0.5727174377236459,0.5752648569914031,,
2019-06-04 06:00:00,1.145600166530243,1.1372767632664762,,
2019-06-04 07:00:00,2.3740014855112026,,2.388677893270773,
2019-06-04 08:00:00,3.6478337869828397,,,3.635417894264777
2019-06-04 09:00:00,4.631887266838584,,,4.67804918002331
2019-06-04 10:00:00,3.674080068584236,,,3.6632452056864135
2019-06-04 11:00:00,5.560442421468446,,,5.615373020677452
2019-06-04 12:00:00,3.5103411795794313,,,3.537861193677679
2019-06-04 13:00:00,3.3430627277777787,,3.3566233906735565,
2019-06-04 14:00:00,1.7817122088081627,1.7761300656369483,,
2019-06-04 15:00:00,1.1770499798231744,1.1793465750746577,,
2019-06-04 16:00:00,1.3299837509185326,1.3397437796057838,,
2019-06-04 17:00:00,0.6264786890483028,0.6308579334174608,,
2019-06-04 18:00:00,0.3995706408177418,0.39804218448770584,,
2019-06-05 03:00:00,0.3150926770269009,0.3160368352811257,,
2019-06-05 04:00:00,0.45971142307314383,0.4601314915232945,,
2019-06-05 05:00:00,0.5313727601754165,0.5299696188292539,,
2019-06-05 06:00:00,0.865307817807624,0.8688323068916027,,
2019-06-05 07:00:00,2.3254628388888863,,2.322574441666665,
2019-06-05 08:00:00,3.483259712029847,,,3.5698484080867194
2019-06-05 09:00:00,4.527462069858185,,,4.525977912723945
2019-06-05 10:00:00,5.024917859308495,,,5.232638349717835
2019-06-05 11:00:00,5.3488596362242,,,5.414483560208015
2019-06-05 12:00:00,5.266619211032877,,,5.276046937282316
2019-06-05 13:00:00,4.751793500000002,,,4.723430983333333
2019-06-05 14:00:00,3.969341272065821,,,3.9693548164973556
2019-06-05 15:00:00,2.812689794203396,,2.904938800398091,
2019-06-05 16:00:00,1.587550415209888,1.605458929857502,,
2019-06-05 17:00:00,0.5982226774640192,0.6035852492171024,,
2019-06-05 18:00:00,0.3051300757938449,0.3031842530331669,,
2019-06-06 04:00:00,0.32262972758048103,0.3250814118992266,,
2019-06-06 05:00:00,0.4730395975855797,0.48202879249419267,,
2019-06-06 06:00:00,0.9876354203703707,0.9906890457051847,,
2019-06-06 07:00:00,2.3250643174790833,,2.328047266666666,
2019-06-06 08:00:00,3.6300732456009346,,,3.627510468151243
2019-06-06 09:00:00,4.43348581763294,,,4.454438710296153
2019-06-06 10:00:00,5.056733323156462,,,5.217693561854963
2019-06-06 11:00:00,5.610667553980534,,,5.656767992590258
2019-06-06 12:00:00,5.550201983240275,,,5.579860791092035
2019-06-06 13:00:00,5.075749678310697,,,5.075028480783967
2019-06-06 14:00:00,3.422818936272785,,3.4081097194945884,
2019-06-06 15:00:00,0.9666930210765656,0.9589266627743832,,
2019-06-07 05:00:00,0.36630254229688497,0.37825984394179907,,
2019-06-07 06:00:00,0.6732403147409542,0.6773309393514125,,
2019-06-07 07:00:00,0.7842106570647377,0.7850072052617588,,
2019-06-07 08:00:00,0.9393679748989899,0.9384680431818182,,
2019-06-07 09:00:00,1.162870968140749,1.1579736107581724,,
2019-06-07 10:00:00,1.951934576886034,,1.9541311841415527,
2019-06-07 11:00:00,2.431876912060234,,2.4396467691024166,
2019-06-07 12:00:00,1.688812270540555,1.6862023708743143,,
2019-06-07 13:00:00,2.0107574658881493,,2.008698132902714,
2019-06-07 14:00:00,1.4544590208442667,1.451011419796549,,
2019-06-07 15:00:00,0.6818575644078217,0.6766487353330342,,
2019-06-07 16:00:00,0.5800345768927371,0.5816372714603131,,
2019-06-07 17:00:00,0.5147775177132449,0.512192592765487,,
2019-06-07 18:00:00,0.3218701346459488,0.3246659758366818,,
2019-06-08 07:00:00,0.8630233675671719,0.8670575994794958,,
2019-06-08 08:00:00,1.9753253753799855,,1.9911936476613465,
2019-06-08 09:00:00,3.0504088267994023,,3.063711764925836,
2019-06-08 10:00:00,2.5706722091297873,,2.6068374246385764,
2019-06-08 11:00:00,4.1184766071153565,,,4.140249648402501
2019-06-08 12:00:00,3.7364016833734324,,,3.723169819144955
2019-06-08 13:00:00,3.3436051762981354,,3.360759959818064,
2019-06-08 14:00:00,1.1783414543963842,1.1809841374199608,,
2019-06-08 15:00:00,0.9172232469776773,0.9201635612289575,,
2019-06-08 16:00:00,0.5417942990559982,0.5428248526480877,,
2019-06-08 17:00:00,0.6385573278371348,0.63834333718015,,
2019-06-09 04:00:00,0.4332098845486132,0.434038908080808,,
2019-06-09 05:00:00,0.7044378340395173,0.7068664526556144,,
2019-06-09 06:00:00,1.193855091877099,1.1880022477797723,,
2019-06-09 07:00:00,1.023924780909091,1.0215912713623598,,
2019-06-09 08:00:00,3.1763191434701503,,3.1694004404284577,
2019-06-09 09:00:00,2.186979709908753,,2.182060938623722,
2019-06-09 10:00:00,3.503638262603185,,3.5012624760622164,
2019-06-09 11:00:00,2.2390754477195216,,2.2253381274703075,
2019-06-09 12:00:00,4.2436767237749535,,,4.310898949163636
2019-06-09 13:00:00,1.7572971240505035,1.7531675484558615,,
2019-06-09 14:00:00,2.2253208135910842,,2.2131843412560044,
2019-06-09 15:00:00,2.466017939798079,,2.470541649834105,
2019-06-09 16:00:00,1.9969170514105756,,2.0129927340748592,
2019-06-09 17:00:00,0.8377085023481139,0.8395956081233672,,
2019-06-09 18:00:00,0.4394147084159679,0.44334674303167854,,
2019-06-10 05:00:00,0.32368889530972267,0.3271366146511664,,
2019-06-10 06:00:00,0.9192212814478112,0.9184898452272722,,
